group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quicksort,,,,,1203030.0,ns,4
quicksort,,,,,2419772.0,ns,8
quicksort,,,,,3687332.0,ns,12
quicksort,,,,,4809104.0,ns,16
quicksort,,,,,6019214.0,ns,20
quicksort,,,,,7326224.0,ns,24
quicksort,,,,,8417366.0,ns,28
quicksort,,,,,9639417.0,ns,32
quicksort,,,,,10821487.0,ns,36
quicksort,,,,,12041548.0,ns,40
quicksort,,,,,13330759.0,ns,44
quicksort,,,,,14448490.0,ns,48
quicksort,,,,,15634491.0,ns,52
quicksort,,,,,16829781.0,ns,56
quicksort,,,,,18025032.0,ns,60
quicksort,,,,,19242813.0,ns,64
quicksort,,,,,20503674.0,ns,68
quicksort,,,,,21640924.0,ns,72
quicksort,,,,,22925505.0,ns,76
quicksort,,,,,24079377.0,ns,80
quicksort,,,,,25265277.0,ns,84
quicksort,,,,,26488098.0,ns,88
quicksort,,,,,27657758.0,ns,92
quicksort,,,,,28838739.0,ns,96
quicksort,,,,,30070561.0,ns,100
quicksort,,,,,31311511.0,ns,104
quicksort,,,,,32508432.0,ns,108
quicksort,,,,,33714612.0,ns,112
quicksort,,,,,34893694.0,ns,116
quicksort,,,,,36102214.0,ns,120
quicksort,,,,,37302435.0,ns,124
quicksort,,,,,38504586.0,ns,128
quicksort,,,,,39669007.0,ns,132
quicksort,,,,,40871157.0,ns,136
quicksort,,,,,42099918.0,ns,140
quicksort,,,,,43290480.0,ns,144
quicksort,,,,,44491359.0,ns,148
quicksort,,,,,45765161.0,ns,152
quicksort,,,,,46920632.0,ns,156
quicksort,,,,,48120092.0,ns,160
quicksort,,,,,49308673.0,ns,164
quicksort,,,,,50552054.0,ns,168
quicksort,,,,,51751755.0,ns,172
quicksort,,,,,52967876.0,ns,176
quicksort,,,,,54138266.0,ns,180
quicksort,,,,,55318847.0,ns,184
quicksort,,,,,56595288.0,ns,188
quicksort,,,,,57781849.0,ns,192
quicksort,,,,,58952290.0,ns,196
quicksort,,,,,60179280.0,ns,200
quicksort,,,,,61346981.0,ns,204
quicksort,,,,,62809052.0,ns,208
quicksort,,,,,63812073.0,ns,212
quicksort,,,,,65176194.0,ns,216
quicksort,,,,,66413335.0,ns,220
quicksort,,,,,67648425.0,ns,224
quicksort,,,,,68654586.0,ns,228
quicksort,,,,,69783767.0,ns,232
quicksort,,,,,71093218.0,ns,236
quicksort,,,,,72272839.0,ns,240
quicksort,,,,,73686109.0,ns,244
quicksort,,,,,75121161.0,ns,248
quicksort,,,,,76083281.0,ns,252
quicksort,,,,,76955162.0,ns,256
quicksort,,,,,78156852.0,ns,260
quicksort,,,,,79443024.0,ns,264
quicksort,,,,,80681024.0,ns,268
quicksort,,,,,81816405.0,ns,272
quicksort,,,,,83058846.0,ns,276
quicksort,,,,,84223446.0,ns,280
quicksort,,,,,85414988.0,ns,284
quicksort,,,,,86700028.0,ns,288
quicksort,,,,,87893639.0,ns,292
quicksort,,,,,89711680.0,ns,296
quicksort,,,,,90444921.0,ns,300
quicksort,,,,,91565972.0,ns,304
quicksort,,,,,92839402.0,ns,308
quicksort,,,,,94046543.0,ns,312
quicksort,,,,,99422337.0,ns,316
quicksort,,,,,98613996.0,ns,320
quicksort,,,,,98778717.0,ns,324
quicksort,,,,,99740027.0,ns,328
quicksort,,,,,100563857.0,ns,332
quicksort,,,,,105543101.0,ns,336
quicksort,,,,,104863711.0,ns,340
quicksort,,,,,105256401.0,ns,344
quicksort,,,,,106165301.0,ns,348
quicksort,,,,,106061911.0,ns,352
quicksort,,,,,107363603.0,ns,356
quicksort,,,,,108502472.0,ns,360
quicksort,,,,,109474654.0,ns,364
quicksort,,,,,110663314.0,ns,368
quicksort,,,,,112153226.0,ns,372
quicksort,,,,,113303256.0,ns,376
quicksort,,,,,114318597.0,ns,380
quicksort,,,,,115778648.0,ns,384
quicksort,,,,,116944808.0,ns,388
quicksort,,,,,117928639.0,ns,392
quicksort,,,,,119130780.0,ns,396
quicksort,,,,,120314601.0,ns,400
